unix,date,symbol,open,high,low,close,vwap,Volume BTC,Volume USD,tradecount
1608008400,2020-12-15 05:00:00,BTC/USD,19177.3,19248.0,19048.9,19131.4,19128.7,443.60830694,8486847.963391917,1654
1608004800,2020-12-15 04:00:00,BTC/USD,19478.1,19478.1,19137.3,19178.5,19292.4,287.42453433,5512371.431647904,1463
1608001200,2020-12-15 03:00:00,BTC/USD,19466.9,19495.6,19389.1,19478.0,19456.1,167.18421526,3256414.14483428,751
1607997600,2020-12-15 02:00:00,BTC/USD,19449.4,19551.5,19424.8,19453.9,19506.2,562.45094309,10941864.401778553,2161
1607994000,2020-12-15 01:00:00,BTC/USD,19387.0,19453.3,19327.3,19449.4,19403.8,221.26153903,4303404.177210082,1147
1607990400,2020-12-15 00:00:00,BTC/USD,19281.0,19387.0,19245.1,19387.0,19330.0,198.78840559,3853910.81917333,1046
1607986800,2020-12-14 23:00:00,BTC/USD,19290.0,19335.7,19219.5,19281.1,19289.0,233.06909933,4493828.611091663,1307
1607983200,2020-12-14 22:00:00,BTC/USD,19199.5,19292.0,19187.0,19290.0,19241.7,183.87962019,3547037.8734651,964
1607979600,2020-12-14 21:00:00,BTC/USD,19200.0,19202.5,19154.8,19199.4,19186.3,117.59411685,2257736.48704989,712
1607976000,2020-12-14 20:00:00,BTC/USD,19175.0,19200.0,19122.8,19199.9,19164.2,107.29776446,2060106.3478555542,675
1607972400,2020-12-14 19:00:00,BTC/USD,19208.4,19219.0,19166.4,19175.0,19193.2,68.50444187,1313572.6728572499,422
1607968800,2020-12-14 18:00:00,BTC/USD,19132.6,19222.6,19132.6,19208.4,19191.8,115.17096083,2212249.884006972,785
1607965200,2020-12-14 17:00:00,BTC/USD,19150.0,19160.9,19117.4,19132.6,19132.9,106.79431578,2043252.926092428,567
1607961600,2020-12-14 16:00:00,BTC/USD,19191.1,19213.0,19121.8,19150.7,19156.0,117.09413650,2242434.67987055,687
1607958000,2020-12-14 15:00:00,BTC/USD,19215.5,19298.8,19184.4,19191.0,19249.0,224.45640680,4307542.9028988,1001
1607954400,2020-12-14 14:00:00,BTC/USD,19174.4,19215.4,19099.9,19215.4,19153.3,163.81512930,3147773.2355512204,753
1607950800,2020-12-14 13:00:00,BTC/USD,19108.2,19195.2,19062.4,19174.3,19151.0,117.93370323,2261296.205842989,704
1607947200,2020-12-14 12:00:00,BTC/USD,19100.8,19123.7,19025.1,19108.2,19076.7,88.36173782,1688433.758612124,671
1607943600,2020-12-14 11:00:00,BTC/USD,19082.7,19148.6,19047.7,19100.5,19084.0,182.98916704,3495184.58504752,642
1607940000,2020-12-14 10:00:00,BTC/USD,19184.3,19210.0,19065.8,19084.6,19126.5,78.36097121,1495487.791154366,571
1607936400,2020-12-14 09:00:00,BTC/USD,19224.4,19250.1,19127.7,19184.3,19182.2,73.14691416,1403272.3453196879,483
1607932800,2020-12-14 08:00:00,BTC/USD,19150.3,19245.8,19138.1,19224.3,19195.1,97.26874111,1869923.4597209727,596
1607929200,2020-12-14 07:00:00,BTC/USD,19200.5,19207.2,19108.1,19150.4,19148.0,43.39174902,830969.350432608,356
1607925600,2020-12-14 06:00:00,BTC/USD,19082.6,19203.3,19080.2,19203.3,19131.7,61.75091664,1185821.377512912,487
1607922000,2020-12-14 05:00:00,BTC/USD,19127.3,19127.3,19033.9,19080.5,19069.2,97.31702280,1856857.4535354,434
1607918400,2020-12-14 04:00:00,BTC/USD,19254.0,19281.8,19053.1,19130.4,19133.0,240.32292186,4597473.624350544,1057
1607914800,2020-12-14 03:00:00,BTC/USD,19291.3,19342.7,19231.1,19257.5,19284.9,226.56083636,4362995.3062027,857
1607911200,2020-12-14 02:00:00,BTC/USD,19077.5,19300.0,19046.0,19294.9,19200.6,189.57999867,3657927.1163377836,925
1607907600,2020-12-14 01:00:00,BTC/USD,19043.9,19091.2,19007.5,19077.5,19073.9,102.00752954,1946048.6447993498,503
1607904000,2020-12-14 00:00:00,BTC/USD,19163.0,19163.0,19002.0,19044.8,19064.1,116.57393936,2220127.360323328,637
1607900400,2020-12-13 23:00:00,BTC/USD,19106.6,19200.0,19087.0,19164.1,19153.2,178.16537748,3414379.1105644675,784
1607896800,2020-12-13 22:00:00,BTC/USD,19180.6,19180.6,18952.0,19111.5,19044.5,314.82341136,6016747.62620664,1646
1607893200,2020-12-13 21:00:00,BTC/USD,19148.6,19214.0,19140.1,19180.6,19183.6,93.04883046,1784732.397521076,594
1607889600,2020-12-13 20:00:00,BTC/USD,19179.8,19179.8,19100.0,19148.6,19140.3,152.00234843,2910632.169146698,942
1607886000,2020-12-13 19:00:00,BTC/USD,19180.0,19218.0,19161.0,19179.8,19179.9,88.41379094,1695758.827471012,635
1607882400,2020-12-13 18:00:00,BTC/USD,19264.4,19264.4,19167.8,19180.0,19205.7,93.59135815,1795082.2493170002,588
1607878800,2020-12-13 17:00:00,BTC/USD,19322.0,19334.0,19205.7,19264.4,19269.9,118.51295878,2283081.0431214324,921
1607875200,2020-12-13 16:00:00,BTC/USD,19217.1,19381.4,19214.3,19321.9,19325.2,368.93671947,7128558.3999273935,1506
1607871600,2020-12-13 15:00:00,BTC/USD,19301.4,19339.4,19055.3,19212.3,19171.3,450.33451203,8651961.745473968,1875
1607868000,2020-12-13 14:00:00,BTC/USD,19323.5,19367.1,19287.7,19302.5,19320.0,75.08482610,1449324.85579525,536
1607864400,2020-12-13 13:00:00,BTC/USD,19346.9,19420.0,19300.6,19326.8,19349.5,189.85519447,3669293.3724827957,982
1607860800,2020-12-13 12:00:00,BTC/USD,19321.7,19399.0,19272.0,19346.8,19352.2,175.04602500,3386580.4364699996,1018
1607857200,2020-12-13 11:00:00,BTC/USD,19282.1,19346.9,19202.4,19323.4,19268.8,135.43118992,2616991.055300128,941
1607853600,2020-12-13 10:00:00,BTC/USD,19263.6,19374.0,19260.0,19280.0,19312.6,280.42232827,5406542.4890455995,1260
1607850000,2020-12-13 09:00:00,BTC/USD,19250.0,19299.5,19189.1,19263.6,19233.6,133.97760014,2580890.898056904,795
1607846400,2020-12-13 08:00:00,BTC/USD,19255.6,19300.0,19184.2,19249.9,19241.5,223.35085256,4299481.576694745,1066
